Type,Measure,Transformation,value,Stat,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim,estimate_reg,std.error,statistic,p.value,conf.low,conf.high,df,outcome
D+ vs. D+,Policy Rank,Squared,-0.5,Mean,0.3220631522488195,0.01328131966554982,0.29729173392386665,0.3499202126903516,0.3222606674416821,0.3222246703687658,1,0,0,1000,0.3220631522488196,0.01371290039045003,23.486143928611305,6.61169685168367e-78,0.2951067931425204,0.34901951135511877,410.02957804338047,c_win
D+ vs. D+,Policy Rank,Squared,-0.3,Mean,0.38207806439237035,0.011662206581620631,0.35887157649881074,0.405842076641997,0.38288790920704163,0.3823079768487119,1,0,0,1000,0.38207806439237046,0.011741657189926093,32.54038660915593,2.8491620224984363e-127,0.3590108966227357,0.4051452321620052,517.5605529309835,c_win
D+ vs. D+,Policy Rank,Squared,-0.1,Mean,0.426586606098431,0.01104926612147795,0.4063704478877543,0.4488493545622486,0.4274319806473532,0.4271774660306243,1,0,0,1000,0.42658660609842963,0.01109260758860796,38.456837374877615,8.848693132784505e-155,0.4047952271143163,0.44837798508254295,524.6807267050731,c_win
D+ vs. D+,Policy Rank,Squared,0.1,Mean,0.573413393901569,0.011049266121477951,0.5511506454377514,0.5936295521122459,0.5725680193526468,0.5728225339693757,1,0,0,1000,0.5734133939015663,0.011092607588607965,51.69329116901765,4.872461763437591e-208,0.551622014917453,0.5952047728856796,524.6807267050731,c_win
D+ vs. D+,Policy Rank,Squared,0.3,Mean,0.6179219356076296,0.011662206581620631,0.594157923358003,0.6411284235011893,0.6171120907929584,0.6176920231512881,1,0,0,1000,0.6179219356076316,0.01174165718992609,52.626467083180216,6.597930526239786e-210,0.5948547678379968,0.6409891033772664,517.5605529309835,c_win
D+ vs. D+,Policy Rank,Squared,0.5,Mean,0.6779368477511805,0.013281319665549823,0.6500797873096484,0.7027082660761332,0.6777393325583179,0.6777753296312342,1,0,0,1000,0.6779368477511829,0.013712900390450018,49.43788902771538,7.432959274432223e-175,0.6509804886448838,0.704893206857482,410.02957804338047,c_win
D+ vs. D+,Policy Rank,Squared,0.7,Mean,0.7312418005781265,0.020435573643816707,0.6900197438974719,0.7702199611525496,0.7319038579370654,0.7311225391656052,1,0,0,1000,0.731241800578127,0.020433978735661627,35.78558096969901,1.8140301703302612e-95,0.6909779902621774,0.7715056108940767,227.76183514494414,c_win
D+ vs. D+,Policy Rank,Squared,0.9,Mean,0.7721484454117994,0.031198248563365977,0.7110633744651336,0.8327505960316227,0.7723703886761373,0.7723917527031745,1,0,0,1000,0.7721484454117994,0.031692197567578365,24.36399191836794,4.0475484030683684e-42,0.7092128661748293,0.8350840246487695,92.8705834618625,c_win
D+ vs. D+,Policy Rating,Absolute,-0.9,Mean,0.11271920677407021,0.029188502835703158,0.0598607446809724,0.17244215631737633,0.11085110967335696,0.11224658796707318,1,0,0,1000,0.1127192067740702,0.029591554860818402,3.809168098947024,3.7018251706225265e-4,0.05333892291559217,0.17209949063254823,51.982168649948946,c_win
D+ vs. D+,Policy Rating,Absolute,-0.7,Mean,0.14410064692040764,0.027563156925427264,0.09356369315320512,0.2026092967860751,0.14370342370699787,0.14453733886501702,1,0,0,1000,0.14410064692040758,0.027656815253287698,5.21031238053621,1.302591491871472e-6,0.08911034918549315,0.199090944655322,84.87816030146361,c_win
D+ vs. D+,Policy Rating,Absolute,-0.5,Mean,0.2340812224403332,0.014578611491648973,0.2073972132088728,0.26492935876865614,0.23403385225449935,0.23423648148498424,1,0,0,1000,0.23408122244033316,0.014403285928467499,16.251931927400072,1.9405744526096317e-43,0.20574117769506373,0.2624212671856026,311.4643023312446,c_win
D+ vs. D+,Policy Rating,Absolute,-0.3,Mean,0.2888027078897402,0.012782315117714724,0.26295726075924697,0.3134427589885041,0.2881793390636864,0.28846393325865927,1,0,0,1000,0.28880270788973994,0.01344093846049866,21.48679638244734,1.3516430184630495e-69,0.2623826873846409,0.315222728394839,419.27678250678844,c_win
D+ vs. D+,Policy Rating,Absolute,-0.1,Mean,0.4472449741189407,0.009360984551818332,0.42939262646959486,0.46570830196562335,0.44781185785071775,0.44780466747852726,1,0,0,1000,0.44724497411894193,0.009468192823612023,47.236572221426556,1.5257028883338158e-203,0.4286498561035207,0.46584009213436317,595.3817650835716,c_win
D+ vs. D+,Policy Rating,Absolute,0.1,Mean,0.5527550258810593,0.009360984551818332,0.5342916980343767,0.5706073735304051,0.5521881421492822,0.5521953325214728,1,0,0,1000,0.5527550258810595,0.009468192823612026,58.38020371771312,1.4549054292079453e-248,0.5341599078656383,0.5713501438964808,595.3817650835716,c_win
D+ vs. D+,Policy Rating,Absolute,0.3,Mean,0.7111972921102597,0.01278231511771472,0.686557241011496,0.737042739240753,0.7118206609363136,0.7115360667413407,1,0,0,1000,0.7111972921102621,0.013440938460498663,52.91277050336829,1.1050236899376423e-187,0.684777271605163,0.7376173126153611,419.27678250678844,c_win
D+ vs. D+,Policy Rating,Absolute,0.5,Mean,0.7659187775596669,0.014578611491648975,0.7350706412313438,0.7926027867911272,0.7659661477455006,0.7657635185150158,1,0,0,1000,0.7659187775596646,0.014403285928467492,53.17666964076984,2.591982904784909e-158,0.7375787328143952,0.794258822304934,311.4643023312446,c_win
