variable,value,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
knowl_anes_total,1,diff_dem_type_u,-0.08678226792195647,0.045439413782002024,-0.17803667550028357,0.0013278292070856093,-0.08703212253746165,-0.08805876121758024,0.027,0.973,0,1000
knowl_anes_total,1,diff_dem_type_v,-0.2439982714784152,0.05753883152934453,-0.35592839267209586,-0.13401618662350767,-0.24439138925321763,-0.2436956030102918,0,1,0,1000
knowl_anes_total,2,(Intercept),0.4999999999999962,0.024014574530135856,0.45382888393169885,0.5446912667860934,0.49979888441090403,0.4988777433193655,1,0,0,1000
knowl_anes_total,2,diff_dem_type_u,-0.05001532030935702,0.02836711343456898,-0.10870217175114268,0.005516910624090296,-0.04891091027991277,-0.04892241018142334,0.037,0.963,0,1000
knowl_anes_total,2,diff_dem_type_v,-0.10423762834815548,0.04199818455288344,-0.18396864209125008,-0.01940942439234447,-0.10373091552251919,-0.10310384672884772,0.008,0.992,0,1000
knowl_anes_total,3,(Intercept),0.49999999999998307,0.018451454996586805,0.464370847417136,0.5346904117690958,0.5003487860547997,0.4998915329539582,1,0,0,1000
knowl_anes_total,3,diff_dem_type_u,-0.11588468487123257,0.024476730554922412,-0.16220697792568772,-0.0652151183546255,-0.11503731497060488,-0.11525254542249166,0,1,0,1000
knowl_anes_total,3,diff_dem_type_v,-0.19653733447595684,0.029931443394549027,-0.24991253475513364,-0.137165124608535,-0.19552548572694584,-0.19523525550685683,0,1,0,1000
knowl_anes_total,4,(Intercept),0.49999999999999456,0.017185317880279886,0.4654399923047524,0.5342553010785892,0.49976386434716813,0.499972109967917,1,0,0,1000
knowl_anes_total,4,diff_dem_type_u,-0.09166196388744263,0.022535243593213513,-0.13323884824883658,-0.04883796907485692,-0.09198181898213723,-0.09100444752409684,0,1,0,1000
knowl_anes_total,4,diff_dem_type_v,-0.18062148325067806,0.02824570305080262,-0.23574628287810104,-0.12775426243641896,-0.18024218847449852,-0.1804607345077033,0,1,0,1000
knowl_anes_total,5,(Intercept),0.49999999999999484,0.018252567636222593,0.46539902793178994,0.536079187065492,0.49878682449774814,0.49965404618442383,1,0,0,1000
knowl_anes_total,5,diff_dem_type_u,-0.13007775771099717,0.023343247034712022,-0.1778895767830568,-0.0855906133609749,-0.13110077420763955,-0.13017954788615843,0,1,0,1000
knowl_anes_total,5,diff_dem_type_v,-0.20806645187791095,0.030183306752988553,-0.2665072297705866,-0.1526042641101818,-0.20728329274999352,-0.20789695672484124,0,1,0,1000
knowl_anes_total,6,(Intercept),0.49999999999999883,0.01709766020609491,0.4651484180577865,0.5321325903344385,0.5000137260598445,0.5001001021103033,1,0,0,1000
