"","V1","V2"
"1296",14455304,0
"1297",14455875,6
"1298",14457365,8
"1299",14459224,13
"1300",14460518,18
"1301",14460965,2
"1302",14463511,10
"1303",14463573,20
"1304",14463587,5
"1305",14466556,8
"1306",14468961,8
"1307",14468998,2
"1308",14469349,4
"1309",14470913,17
"1310",14472797,8
"1311",14474985,8
"1312",14475917,1
"1313",14476490,7
"1314",14476739,4
"1315",14479094,14
"1316",14480974,4
"1317",14481625,8
"1318",14481796,5
"1319",14484021,3
"1320",14485502,5
"1321",14487274,9
"1322",14487491,6
"1323",14488150,6
"1324",14488278,9
"1325",14490398,5
"1326",14491555,7
"1327",14494275,28
"1328",14495165,7
"1329",14495302,4
"1330",14496298,1
"1331",14501508,0
"1332",14502467,23
"1333",14502590,8
"1334",14504279,6
"1335",14505445,2
"1336",14505968,0
"1337",14506474,0
"1338",14507590,10
"1339",14507910,4
"1340",14508038,1
"1341",14508859,2
"1342",14510390,3
"1343",14510404,10
"1344",14514651,16
"1345",14516771,7
"1346",14518387,13
"1347",14519333,2
"1348",14520216,14
"1349",14520899,12
"1350",14522754,4
"1351",14522958,19
"1352",14524373,3
"1353",14525085,2
"1354",14526697,1
"1355",14526927,20
"1356",14527670,33
"1357",14528441,0
"1358",14528486,5
"1359",14529421,9
"1360",14529475,4
"1361",14530378,7
"1362",14530535,13
"1363",14530630,3
"1364",14530849,0
"1365",14531331,5
"1366",14531332,0
"1367",14531948,32
"1368",14532071,0
"1369",14532750,1
"1370",14533008,1
"1371",14533277,20
"1372",14533299,27
"1373",14533432,1
"1374",14535182,2
"1375",14535427,22
"1376",14535643,1
"1377",14535752,4
"1378",14537375,20
"1379",14538966,26
"1380",14539037,0
"1381",1431450,7
"1382",1432130,37
"1383",1436473,2
"1384",1437026,7
"1385",1437373,10
"1386",1437472,16
"1387",1437909,4
"1388",1438665,3
"1389",1439145,9
"1390",1439772,1
"1391",1439917,0
"1392",1442040,12
"1393",1442547,11
"1394",1444018,13
"1395",1445068,1
"1396",1446490,6
"1397",1449666,11
"1398",1450864,9
"1399",1451393,7
"1400",1451402,1
"1401",14539421,0
"1402",14540341,11
"1403",14540387,1
"1404",14540958,2
"1405",14542214,8
"1406",14543157,0
"1407",14543454,3
"1408",14545279,4
"1409",14545633,4
"1410",14547027,13
"1411",14548598,1
"1412",14548686,4
"1413",14550284,2
"1414",14552590,3
"1415",14553770,1
"1416",14553888,9
"1417",14555289,22
"1418",14555399,3
"1419",14556018,0
"1420",14556257,2
"1421",14556595,0
"1422",14558061,0
"1423",14558151,0
"1424",14558891,4
"1425",14559172,1
"1426",14560465,1
"1427",14562415,12
"1428",14563338,1
"1429",14563361,3
"1430",14564394,3
"1431",14564729,1
"1432",14566950,1
"1433",14567292,0
"1434",14567855,5
"1435",14569706,1
"1436",14570674,1
"1437",14570838,7
"1438",14571211,6
"1439",14573516,7
"1440",14574337,0
"1441",14574925,3
"1442",14575986,6
"1443",14577644,1
"1444",14577866,11
"1445",14578504,0
"1446",14578873,6
"1447",14579832,3
"1448",14580293,0
"1449",14582069,12
"1450",14582444,0
"1451",14582527,5
"1452",14583309,0
"1453",14583750,2
"1454",14584515,0
"1455",14585030,0
"1456",14585268,1
"1457",14586558,6
"1458",14586713,0
"1459",14587039,2
"1460",14587326,0
"1461",14587558,11
"1462",14587866,0
"1463",14588165,1
"1464",14588546,2
"1465",14589621,2
"1466",14589816,1
"1467",14590903,7
"1468",14590959,1
"1469",14592716,2
"1470",14592774,6
"1471",14593878,0
"1472",14594435,3
"1473",14594932,10
"1474",14595418,6
"1475",14596133,1
